dataset,method,random_state_value,min_support,max_depth,duration,train_acc,test_acc,reconstructed_dataset_entropy,no_knowledge_dataset_entropy,n_elementary_tokens,n_branches_rules,entropy_reduction_ratio,average_tokens_per_examples,n_elementary_tokens_path,leaves_support,sorted_leaves_single_example_entropy_list
compas,DL8.5,0,0.05,8,9.113400040194392,0.6768324380523306,0.6701316701316701,132412.0,155817.0,13,14,0.8497917428778632,4.0556229422976955,58,"[449, 325, 620, 310, 324, 380, 714, 314, 288, 381, 516, 411, 375, 364]","[25.0, 23.0, 23.0, 24.0, 22.0, 22.0, 23.0, 22.0, 22.0, 23.0, 24.0, 23.0, 22.0, 22.0]"
compas,DL8.5,0,0.05,9,10.567689717980102,0.6768324380523306,0.6701316701316701,132412.0,155817.0,13,14,0.8497917428778632,4.0556229422976955,58,"[449, 325, 620, 310, 324, 380, 714, 314, 288, 381, 516, 411, 375, 364]","[25.0, 23.0, 23.0, 24.0, 22.0, 22.0, 23.0, 22.0, 22.0, 23.0, 24.0, 23.0, 22.0, 22.0]"
compas,DL8.5,0,0.05,10,11.46968064410612,0.6768324380523306,0.6701316701316701,132412.0,155817.0,13,14,0.8497917428778632,4.0556229422976955,58,"[449, 325, 620, 310, 324, 380, 714, 314, 288, 381, 516, 411, 375, 364]","[25.0, 23.0, 23.0, 24.0, 22.0, 22.0, 23.0, 22.0, 22.0, 23.0, 24.0, 23.0, 22.0, 22.0]"
compas,DL8.5,1,0.01,1,0.15412419894710183,0.6343787905042454,0.623007623007623,150046.0,155817.0,1,2,0.9629629629629629,1.0,2,"[1812, 3959]","[26.0, 26.0]"
compas,DL8.5,1,0.01,2,0.1337239039130509,0.6629700225264252,0.6632016632016632,144275.0,155817.0,3,4,0.9259259259259259,2.0,8,"[576, 925, 1578, 2692]","[25.0, 25.0, 25.0, 25.0]"
compas,DL8.5,1,0.01,3,0.34736027009785175,0.6737133945590019,0.6812196812196812,138504.0,155817.0,7,8,0.8888888888888888,3.0,24,"[557, 114, 260, 570, 417, 1267, 1009, 1577]","[24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0]"
compas,DL8.5,1,0.01,4,1.6500964160077274,0.6794316409634379,0.681912681912682,133037.0,155817.0,12,13,0.8538028584814237,3.9473228210015594,49,"[103, 68, 298, 69, 133, 102, 272, 1516, 58, 417, 629, 901, 1205]","[24.0, 24.0, 23.0, 23.0, 24.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0]"
compas,DL8.5,1,0.01,5,9.967561516910791,0.6834170854271356,0.6784476784476784,127987.0,155817.0,23,24,0.8213930444046542,4.8223878010743375,112,"[103, 68, 298, 69, 133, 136, 63, 175, 109, 260, 87, 358, 156, 147, 529, 118, 266, 63, 97, 61, 397, 565, 559, 954]","[23.0, 23.0, 22.0, 22.0, 23.0, 23.0, 22.0, 22.0, 23.0, 22.0, 22.0, 22.0, 22.0, 23.0, 22.0, 22.0, 23.0, 23.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]"
compas,DL8.5,1,0.01,6,39.77620482700877,0.6863628487263905,0.683991683991684,123174.0,155817.0,38,39,0.7905042453647548,5.65638537515162,214,"[86, 69, 68, 92, 87, 63, 113, 103, 68, 298, 69, 133, 93, 159, 60, 145, 89, 299, 85, 228, 95, 100, 145, 516, 183, 107, 81, 285, 314, 80, 59, 94, 63, 97, 61, 135, 382, 300, 267]","[23.0, 23.0, 22.0, 22.0, 22.0, 21.0, 21.0, 23.0, 23.0, 21.0, 21.0, 22.0, 22.0, 22.0, 21.0, 21.0, 21.0, 21.0, 23.0, 21.0, 21.0, 22.0, 21.0, 21.0, 21.0, 21.0, 22.0, 22.0, 21.0, 21.0, 21.0, 21.0, 22.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0]"
compas,DL8.5,1,0.01,7,128.90333138685673,0.6874025298908335,0.6805266805266805,120332.0,155817.0,45,46,0.772264900492244,6.148847686709409,279,"[103, 68, 86, 69, 68, 92, 87, 63, 113, 69, 289, 67, 116, 93, 118, 68, 77, 60, 99, 89, 200, 85, 129, 95, 115, 452, 64, 102, 63, 183, 171, 120, 128, 80, 171, 414, 63, 97, 61, 112, 279, 228, 221, 81, 82, 81]","[24.0, 24.0, 22.0, 22.0, 21.0, 21.0, 21.0, 20.0, 20.0, 23.0, 20.0, 20.0, 21.0, 21.0, 21.0, 21.0, 20.0, 20.0, 21.0, 20.0, 20.0, 23.0, 20.0, 20.0, 20.0, 20.0, 21.0, 21.0, 22.0, 21.0, 21.0, 21.0, 20.0, 20.0, 22.0, 23.0, 22.0, 21.0, 21.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 21.0]"
